{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 2,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /dssg/home/acct-stu/stu486/OlympicsProject/rl_trainer/models/olympics-running/ppo/run2
Episode:  59 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.10 0.24 ; Trained episode: 6
Episode:  60 controlled agent:  1 ; Episode Return:  -444.0 ; win rate(controlled & opponent):  0.10 0.25 ; Trained episode: 6
Episode:  61 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.10 0.25 ; Trained episode: 6
Episode:  62 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.10 0.24 ; Trained episode: 6
Episode:  63 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.10 0.24 ; Trained episode: 6
Episode:  64 controlled agent:  1 ; Episode Return:  -422.0 ; win rate(controlled & opponent):  0.09 0.25 ; Trained episode: 6
Episode:  65 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.09 0.25 ; Trained episode: 6
Episode:  66 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.09 0.24 ; Trained episode: 6
Episode:  67 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.09 0.24 ; Trained episode: 6
Episode:  68 controlled agent:  1 ; Episode Return:  -470.0 ; win rate(controlled & opponent):  0.09 0.25 ; Trained episode: 6
Episode:  69 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.09 0.25 ; Trained episode: 6
Episode:  70 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.09 0.24 ; Trained episode: 6
Episode:  71 controlled agent:  1 ; Episode Return:  -184.0 ; win rate(controlled & opponent):  0.08 0.25 ; Trained episode: 6
Episode:  72 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.08 0.25 ; Trained episode: 6
Episode:  73 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.08 0.25 ; Trained episode: 6
Episode:  74 controlled agent:  1 ; Episode Return:  -346.0 ; win rate(controlled & opponent):  0.08 0.26 ; Trained episode: 6
Episode:  75 controlled agent:  1 ; Episode Return:  -235.0 ; win rate(controlled & opponent):  0.08 0.27 ; Trained episode: 6
Episode:  76 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.08 0.26 ; Trained episode: 6
Episode:  77 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.08 0.26 ; Trained episode: 6
Episode:  78 controlled agent:  1 ; Episode Return:  -361.0 ; win rate(controlled & opponent):  0.08 0.27 ; Trained episode: 6
Episode:  79 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.08 0.27 ; Trained episode: 6
Episode:  80 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.26 ; Trained episode: 6
Episode:  81 controlled agent:  1 ; Episode Return:  -350.0 ; win rate(controlled & opponent):  0.07 0.27 ; Trained episode: 6
Episode:  82 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.27 ; Trained episode: 6
Episode:  83 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.27 ; Trained episode: 6
Episode:  84 controlled agent:  1 ; Episode Return:  -187.0 ; win rate(controlled & opponent):  0.08 0.26 ; Trained episode: 6
Episode:  85 controlled agent:  1 ; Episode Return:  -191.0 ; win rate(controlled & opponent):  0.08 0.27 ; Trained episode: 7
Episode:  86 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.08 0.27 ; Trained episode: 7
Episode:  87 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.08 0.26 ; Trained episode: 7
Episode:  88 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.08 0.26 ; Trained episode: 7
Episode:  89 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.08 0.26 ; Trained episode: 7
Episode:  90 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.08 0.26 ; Trained episode: 7
Episode:  91 controlled agent:  1 ; Episode Return:  -260.0 ; win rate(controlled & opponent):  0.08 0.26 ; Trained episode: 7
Episode:  92 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.08 0.26 ; Trained episode: 7
Episode:  93 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.08 0.26 ; Trained episode: 7
Episode:  94 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.26 ; Trained episode: 7
Episode:  95 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.25 ; Trained episode: 7
Episode:  96 controlled agent:  1 ; Episode Return:  -485.0 ; win rate(controlled & opponent):  0.07 0.26 ; Trained episode: 7
Episode:  97 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.26 ; Trained episode: 7
Episode:  98 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.26 ; Trained episode: 7
Episode:  99 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.25 ; Trained episode: 7
Episode:  100 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.25 ; Trained episode: 7
Episode:  101 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.25 ; Trained episode: 7
