{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 2,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /dssg/home/acct-stu/stu486/OlympicsProject/rl_trainer/models/olympics-running/ppo/run2
Episode:  1 controlled agent:  1 ; Episode Return:  -483.0 ; win rate(coFntrolled & opponent):  0.00 1.00 ; Trained episode: 0
Episode:  382 controlled agent:  1 ; Episode Return:  -222.0 ; win rate(coFntrolled & opponent):  0.04 0.27 ; Trained episode: 19
Episode:  383 controlled agent:  1 ; Episode Return:  -233.0 ; win rate(coFntrolled & opponent):  0.05 0.26 ; Trained episode: 19
Episode:  384 controlled agent:  1 ; Episode Return:  -174.0 ; win rate(coFntrolled & opponent):  0.05 0.27 ; Trained episode: 20
Episode:  385 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.26 ; Trained episode: 20
Episode:  386 controlled agent:  1 ; Episode Return:  -444.0 ; win rate(coFntrolled & opponent):  0.05 0.27 ; Trained episode: 20
Episode:  387 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.27 ; Trained episode: 20
Episode:  388 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.27 ; Trained episode: 20
Episode:  389 controlled agent:  1 ; Episode Return:  -393.0 ; win rate(coFntrolled & opponent):  0.05 0.28 ; Trained episode: 20
Episode:  390 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.28 ; Trained episode: 20
Episode:  391 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.28 ; Trained episode: 20
Episode:  392 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.28 ; Trained episode: 20
Episode:  393 controlled agent:  1 ; Episode Return:  -180.0 ; win rate(coFntrolled & opponent):  0.05 0.29 ; Trained episode: 20
Episode:  394 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.29 ; Trained episode: 20
Episode:  395 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.29 ; Trained episode: 20
Episode:  396 controlled agent:  1 ; Episode Return:  -137.0 ; win rate(coFntrolled & opponent):  0.05 0.30 ; Trained episode: 20
Episode:  397 controlled agent:  1 ; Episode Return:  -188.0 ; win rate(coFntrolled & opponent):  0.05 0.30 ; Trained episode: 20
Episode:  398 controlled agent:  1 ; Episode Return:  -336.0 ; win rate(coFntrolled & opponent):  0.05 0.31 ; Trained episode: 20
Episode:  399 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.31 ; Trained episode: 20
Episode:  400 controlled agent:  1 ; Episode Return:  -299.0 ; win rate(coFntrolled & opponent):  0.05 0.31 ; Trained episode: 20
Episode:  401 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.30 ; Trained episode: 20
Episode:  402 controlled agent:  1 ; Episode Return:  -380.0 ; win rate(coFntrolled & opponent):  0.06 0.29 ; Trained episode: 20
Episode:  403 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.29 ; Trained episode: 21
Episode:  404 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.29 ; Trained episode: 21
Episode:  405 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.29 ; Trained episode: 21
Episode:  406 controlled agent:  1 ; Episode Return:  -305.0 ; win rate(coFntrolled & opponent):  0.05 0.30 ; Trained episode: 21
Episode:  407 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.29 ; Trained episode: 21
Episode:  408 controlled agent:  1 ; Episode Return:  -225.0 ; win rate(coFntrolled & opponent):  0.05 0.29 ; Trained episode: 21
Episode:  409 controlled agent:  1 ; Episode Return:  -315.0 ; win rate(coFntrolled & opponent):  0.06 0.29 ; Trained episode: 21
Episode:  410 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.28 ; Trained episode: 22
Episode:  411 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.27 ; Trained episode: 22
Episode:  412 controlled agent:  1 ; Episode Return:  -307.0 ; win rate(coFntrolled & opponent):  0.07 0.27 ; Trained episode: 22
Episode:  413 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.27 ; Trained episode: 23
Episode:  414 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.26 ; Trained episode: 23
Episode:  415 controlled agent:  1 ; Episode Return:  -338.0 ; win rate(coFntrolled & opponent):  0.07 0.26 ; Trained episode: 23
Episode:  416 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.26 ; Trained episode: 23
Episode:  417 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.26 ; Trained episode: 23
Episode:  418 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.26 ; Trained episode: 23
Episode:  419 controlled agent:  1 ; Episode Return:  -385.0 ; win rate(coFntrolled & opponent):  0.07 0.26 ; Trained episode: 23
Episode:  420 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.26 ; Trained episode: 23
Episode:  421 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.26 ; Trained episode: 23
Episode:  422 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.26 ; Trained episode: 23
Episode:  423 controlled agent:  1 ; Episode Return:  -252.0 ; win rate(coFntrolled & opponent):  0.07 0.27 ; Trained episode: 23
Episode:  424 controlled agent:  1 ; Episode Return:  -317.0 ; win rate(coFntrolled & opponent):  0.07 0.28 ; Trained episode: 23
Episode:  425 controlled agent:  1 ; Episode Return:  -192.0 ; win rate(coFntrolled & opponent):  0.08 0.27 ; Trained episode: 23
Episode:  426 controlled agent:  1 ; Episode Return:  -317.0 ; win rate(coFntrolled & opponent):  0.08 0.28 ; Trained episode: 24
Episode:  427 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.28 ; Trained episode: 24
Episode:  428 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.28 ; Trained episode: 24
Episode:  429 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.28 ; Trained episode: 24
Episode:  430 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.27 ; Trained episode: 24
Episode:  431 controlled agent:  1 ; Episode Return:  -245.0 ; win rate(coFntrolled & opponent):  0.08 0.28 ; Trained episode: 24
Episode:  432 controlled agent:  1 ; Episode Return:  -229.0 ; win rate(coFntrolled & opponent):  0.08 0.28 ; Trained episode: 24
Episode:  433 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.28 ; Trained episode: 24
Episode:  434 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.28 ; Trained episode: 24
Episode:  435 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.28 ; Trained episode: 24
Episode:  436 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.28 ; Trained episode: 24
Episode:  437 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.28 ; Trained episode: 24
Episode:  438 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.28 ; Trained episode: 24
Episode:  439 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.27 ; Trained episode: 24
Episode:  440 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.27 ; Trained episode: 24
Episode:  441 controlled agent:  1 ; Episode Return:  -182.0 ; win rate(coFntrolled & opponent):  0.07 0.28 ; Trained episode: 24
Episode:  442 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.28 ; Trained episode: 24
Episode:  443 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.28 ; Trained episode: 24
Episode:  444 controlled agent:  1 ; Episode Return:  -369.0 ; win rate(coFntrolled & opponent):  0.06 0.28 ; Trained episode: 24
Episode:  445 controlled agent:  1 ; Episode Return:  -251.0 ; win rate(coFntrolled & opponent):  0.06 0.29 ; Trained episode: 24
Episode:  446 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.28 ; Trained episode: 24
Episode:  447 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.27 ; Trained episode: 24
Episode:  448 controlled agent:  1 ; Episode Return:  -333.0 ; win rate(coFntrolled & opponent):  0.06 0.27 ; Trained episode: 24
Episode:  449 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.27 ; Trained episode: 24
Episode:  450 controlled agent:  1 ; Episode Return:  -195.0 ; win rate(coFntrolled & opponent):  0.07 0.27 ; Trained episode: 24
Episode:  451 controlled agent:  1 ; Episode Return:  -435.0 ; win rate(coFntrolled & opponent):  0.07 0.28 ; Trained episode: 25
Episode:  452 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.28 ; Trained episode: 25
Episode:  453 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.27 ; Trained episode: 25
Episode:  454 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.26 ; Trained episode: 25
Episode:  455 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.26 ; Trained episode: 25
Episode:  456 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.25 ; Trained episode: 25
Episode:  457 controlled agent:  1 ; Episode Return:  -394.0 ; win rate(coFntrolled & opponent):  0.07 0.26 ; Trained episode: 25
Episode:  458 controlled agent:  1 ; Episode Return:  -313.0 ; win rate(coFntrolled & opponent):  0.07 0.27 ; Trained episode: 25
Episode:  459 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.27 ; Trained episode: 25
Episode:  460 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.27 ; Trained episode: 25
Episode:  461 controlled agent:  1 ; Episode Return:  -472.0 ; win rate(coFntrolled & opponent):  0.07 0.28 ; Trained episode: 25
Episode:  462 controlled agent:  1 ; Episode Return:  -324.0 ; win rate(coFntrolled & opponent):  0.08 0.28 ; Trained episode: 25
Episode:  463 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.28 ; Trained episode: 26
Episode:  464 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.28 ; Trained episode: 26
Episode:  465 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.28 ; Trained episode: 26
Episode:  466 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.27 ; Trained episode: 26
Episode:  467 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.27 ; Trained episode: 26
Episode:  468 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.27 ; Trained episode: 26
Episode:  469 controlled agent:  1 ; Episode Return:  -218.0 ; win rate(coFntrolled & opponent):  0.08 0.27 ; Trained episode: 26
Episode:  470 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.27 ; Trained episode: 26
Episode:  471 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.27 ; Trained episode: 26
Episode:  472 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.27 ; Trained episode: 26
Episode:  473 controlled agent:  1 ; Episode Return:  -221.0 ; win rate(coFntrolled & opponent):  0.07 0.28 ; Trained episode: 26
Episode:  474 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.28 ; Trained episode: 26
Episode:  475 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.28 ; Trained episode: 26
Episode:  476 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.28 ; Trained episode: 26
Episode:  477 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.28 ; Trained episode: 26
Episode:  478 controlled agent:  1 ; Episode Return:  -165.0 ; win rate(coFntrolled & opponent):  0.07 0.29 ; Trained episode: 26
Episode:  479 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.29 ; Trained episode: 26
Episode:  480 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.29 ; Trained episode: 26
Episode:  481 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.29 ; Trained episode: 26
Episode:  482 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.28 ; Trained episode: 26
Episode:  483 controlled agent:  1 ; Episode Return:  -191.0 ; win rate(coFntrolled & opponent):  0.06 0.29 ; Trained episode: 26
Episode:  484 controlled agent:  1 ; Episode Return:  -211.0 ; win rate(coFntrolled & opponent):  0.06 0.29 ; Trained episode: 26
Episode:  485 controlled agent:  1 ; Episode Return:  -147.0 ; win rate(coFntrolled & opponent):  0.06 0.30 ; Trained episode: 26
Episode:  486 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.29 ; Trained episode: 26
Episode:  487 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.29 ; Trained episode: 26
Episode:  488 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.29 ; Trained episode: 26
Episode:  489 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.28 ; Trained episode: 26
Episode:  490 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.28 ; Trained episode: 26
Episode:  491 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.28 ; Trained episode: 26
Episode:  492 controlled agent:  1 ; Episode Return:  -177.0 ; win rate(coFntrolled & opponent):  0.06 0.29 ; Trained episode: 26
Episode:  493 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.28 ; Trained episode: 26
Episode:  494 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.28 ; Trained episode: 26
Episode:  495 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.28 ; Trained episode: 26
Episode:  496 controlled agent:  1 ; Episode Return:  -305.0 ; win rate(coFntrolled & opponent):  0.06 0.28 ; Trained episode: 26
Episode:  497 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.27 ; Trained episode: 26
Episode:  498 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.26 ; Trained episode: 26
Episode:  499 controlled agent:  1 ; Episode Return:  -211.0 ; win rate(coFntrolled & opponent):  0.07 0.26 ; Trained episode: 26
Episode:  500 controlled agent:  1 ; Episode Return:  -128.0 ; win rate(coFntrolled & opponent):  0.07 0.26 ; Trained episode: 27
Episode:  501 controlled agent:  1 ; Episode Return:  -358.0 ; win rate(coFntrolled & opponent):  0.07 0.27 ; Trained episode: 27
Episode:  502 controlled agent:  1 ; Episode Return:  -284.0 ; win rate(coFntrolled & opponent):  0.06 0.28 ; Trained episode: 27
Episode:  503 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.28 ; Trained episode: 27
Episode:  504 controlled agent:  1 ; Episode Return:  -367.0 ; win rate(coFntrolled & opponent):  0.06 0.29 ; Trained episode: 27
Episode:  505 controlled agent:  1 ; Episode Return:  -190.0 ; win rate(coFntrolled & opponent):  0.06 0.30 ; Trained episode: 27
Episode:  506 controlled agent:  1 ; Episode Return:  -131.0 ; win rate(coFntrolled & opponent):  0.06 0.30 ; Trained episode: 27
Episode:  507 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.30 ; Trained episode: 27
Episode:  508 controlled agent:  1 ; Episode Return:  -157.0 ; win rate(coFntrolled & opponent):  0.06 0.30 ; Trained episode: 27
Episode:  509 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.30 ; Trained episode: 27
Episode:  510 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.30 ; Trained episode: 27
Episode:  511 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.30 ; Trained episode: 27
Episode:  512 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.30 ; Trained episode: 27
Episode:  513 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.30 ; Trained episode: 27
Episode:  514 controlled agent:  1 ; Episode Return:  -255.0 ; win rate(coFntrolled & opponent):  0.05 0.30 ; Trained episode: 27
Episode:  515 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.29 ; Trained episode: 28
Episode:  516 controlled agent:  1 ; Episode Return:  -495.0 ; win rate(coFntrolled & opponent):  0.05 0.30 ; Trained episode: 28
Episode:  517 controlled agent:  1 ; Episode Return:  -290.0 ; win rate(coFntrolled & opponent):  0.06 0.30 ; Trained episode: 28
Episode:  518 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.30 ; Trained episode: 29
Episode:  519 controlled agent:  1 ; Episode Return:  -392.0 ; win rate(coFntrolled & opponent):  0.06 0.30 ; Trained episode: 29
Episode:  520 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.30 ; Trained episode: 29
Episode:  521 controlled agent:  1 ; Episode Return:  -409.0 ; win rate(coFntrolled & opponent):  0.06 0.31 ; Trained episode: 29
Episode:  522 controlled agent:  1 ; Episode Return:  -211.0 ; win rate(coFntrolled & opponent):  0.06 0.32 ; Trained episode: 29
Episode:  523 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.31 ; Trained episode: 29
Episode:  524 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.30 ; Trained episode: 29
Episode:  525 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.30 ; Trained episode: 29
Episode:  526 controlled agent:  1 ; Episode Return:  -417.0 ; win rate(coFntrolled & opponent):  0.05 0.30 ; Trained episode: 29
Episode:  527 controlled agent:  1 ; Episode Return:  -398.0 ; win rate(coFntrolled & opponent):  0.05 0.31 ; Trained episode: 29
Episode:  528 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.31 ; Trained episode: 29
Episode:  529 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.31 ; Trained episode: 29
Episode:  530 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.31 ; Trained episode: 29
Episode:  531 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.30 ; Trained episode: 29
Episode:  532 controlled agent:  1 ; Episode Return:  -227.0 ; win rate(coFntrolled & opponent):  0.05 0.30 ; Trained episode: 29
Episode:  533 controlled agent:  1 ; Episode Return:  -168.0 ; win rate(coFntrolled & opponent):  0.05 0.31 ; Trained episode: 29
Episode:  534 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.31 ; Trained episode: 29
Episode:  535 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.31 ; Trained episode: 29
Episode:  536 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.31 ; Trained episode: 29
Episode:  537 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.31 ; Trained episode: 29
Episode:  538 controlled agent:  1 ; Episode Return:  -295.0 ; win rate(coFntrolled & opponent):  0.05 0.32 ; Trained episode: 29
Episode:  539 controlled agent:  1 ; Episode Return:  -251.0 ; win rate(coFntrolled & opponent):  0.05 0.33 ; Trained episode: 29
Episode:  540 controlled agent:  1 ; Episode Return:  -167.0 ; win rate(coFntrolled & opponent):  0.05 0.34 ; Trained episode: 29
Episode:  541 controlled agent:  1 ; Episode Return:  -449.0 ; win rate(coFntrolled & opponent):  0.05 0.34 ; Trained episode: 29
Episode:  542 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.34 ; Trained episode: 29
Episode:  543 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.34 ; Trained episode: 29
Episode:  544 controlled agent:  1 ; Episode Return:  -121.0 ; win rate(coFntrolled & opponent):  0.05 0.34 ; Trained episode: 29
Episode:  545 controlled agent:  1 ; Episode Return:  -152.0 ; win rate(coFntrolled & opponent):  0.05 0.34 ; Trained episode: 29
Episode:  546 controlled agent:  1 ; Episode Return:  -315.0 ; win rate(coFntrolled & opponent):  0.05 0.35 ; Trained episode: 29
Episode:  547 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.35 ; Trained episode: 29
Episode:  548 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.34 ; Trained episode: 29
Episode:  549 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.34 ; Trained episode: 29
Episode:  550 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.34 ; Trained episode: 29
Episode:  551 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.33 ; Trained episode: 29
Episode:  552 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.33 ; Trained episode: 29
Episode:  553 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.33 ; Trained episode: 29
Episode:  554 controlled agent:  1 ; Episode Return:  -370.0 ; win rate(coFntrolled & opponent):  0.04 0.34 ; Trained episode: 29
Episode:  555 controlled agent:  1 ; Episode Return:  -424.0 ; win rate(coFntrolled & opponent):  0.04 0.35 ; Trained episode: 29
Episode:  556 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.35 ; Trained episode: 29
Episode:  557 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.34 ; Trained episode: 29
Episode:  558 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.33 ; Trained episode: 29
Episode:  559 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.33 ; Trained episode: 29
Episode:  560 controlled agent:  1 ; Episode Return:  -250.0 ; win rate(coFntrolled & opponent):  0.04 0.34 ; Trained episode: 29
Episode:  561 controlled agent:  1 ; Episode Return:  -140.0 ; win rate(coFntrolled & opponent):  0.04 0.34 ; Trained episode: 29
Episode:  562 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.34 ; Trained episode: 29
Episode:  563 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.34 ; Trained episode: 29
Episode:  564 controlled agent:  1 ; Episode Return:  -447.0 ; win rate(coFntrolled & opponent):  0.03 0.35 ; Trained episode: 29
Episode:  565 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.35 ; Trained episode: 29
Episode:  566 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.35 ; Trained episode: 29
Episode:  567 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.03 0.35 ; Trained episode: 29
Episode:  568 controlled agent:  1 ; Episode Return:  -165.0 ; win rate(coFntrolled & opponent):  0.04 0.35 ; Trained episode: 29
Episode:  569 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.34 ; Trained episode: 30
Episode:  570 controlled agent:  1 ; Episode Return:  -160.0 ; win rate(coFntrolled & opponent):  0.04 0.35 ; Trained episode: 30
Episode:  571 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.35 ; Trained episode: 30
Episode:  572 controlled agent:  1 ; Episode Return:  -381.0 ; win rate(coFntrolled & opponent):  0.04 0.36 ; Trained episode: 30
Episode:  573 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.35 ; Trained episode: 30
Episode:  574 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.35 ; Trained episode: 30
Episode:  575 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.35 ; Trained episode: 30
Episode:  576 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.35 ; Trained episode: 30
Episode:  577 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.35 ; Trained episode: 30
Episode:  578 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.34 ; Trained episode: 30
Episode:  579 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.34 ; Trained episode: 30
Episode:  580 controlled agent:  1 ; Episode Return:  -144.0 ; win rate(coFntrolled & opponent):  0.04 0.35 ; Trained episode: 30
Episode:  581 controlled agent:  1 ; Episode Return:  -406.0 ; win rate(coFntrolled & opponent):  0.04 0.36 ; Trained episode: 30
Episode:  582 controlled agent:  1 ; Episode Return:  -242.0 ; win rate(coFntrolled & opponent):  0.04 0.37 ; Trained episode: 30
Episode:  583 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.36 ; Trained episode: 30
Episode:  584 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.35 ; Trained episode: 30
