{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 5,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /dssg/home/acct-stu/stu486/OlympicsProject/rl_trainer/models/olympics-running/ppo/run5
Episode:  80 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.11 ; Trained episode: 9
Episode:  81 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.11 ; Trained episode: 9
Episode:  82 controlled agent:  1 ; Episode Return:  -496.0 ; win rate(coFntrolled & opponent):  0.11 0.12 ; Trained episode: 9
Episode:  83 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.12 ; Trained episode: 9
Episode:  84 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.12 ; Trained episode: 9
Episode:  85 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.12 ; Trained episode: 9
Episode:  86 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.12 ; Trained episode: 9
Episode:  87 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.11 ; Trained episode: 9
Episode:  88 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.11 ; Trained episode: 9
Episode:  89 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.11 ; Trained episode: 9
Episode:  90 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.11 ; Trained episode: 9
Episode:  91 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.11 ; Trained episode: 9
Episode:  92 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.11 ; Trained episode: 9
Episode:  93 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.11 ; Trained episode: 9
Episode:  94 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.11 ; Trained episode: 9
Episode:  95 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.11 ; Trained episode: 9
Episode:  96 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.10 ; Trained episode: 9
Episode:  97 controlled agent:  1 ; Episode Return:  -354.0 ; win rate(coFntrolled & opponent):  0.09 0.11 ; Trained episode: 9
Episode:  98 controlled agent:  1 ; Episode Return:  -479.0 ; win rate(coFntrolled & opponent):  0.09 0.12 ; Trained episode: 9
Episode:  99 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.12 ; Trained episode: 9
Episode:  100 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.12 ; Trained episode: 9
Episode:  101 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.12 ; Trained episode: 9
Episode:  102 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.12 ; Trained episode: 9
Episode:  103 controlled agent:  1 ; Episode Return:  -207.0 ; win rate(coFntrolled & opponent):  0.08 0.13 ; Trained episode: 9
Episode:  104 controlled agent:  1 ; Episode Return:  -268.0 ; win rate(coFntrolled & opponent):  0.09 0.13 ; Trained episode: 9
Episode:  105 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.13 ; Trained episode: 10
Episode:  106 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.13 ; Trained episode: 10
Episode:  107 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.12 ; Trained episode: 10
Episode:  108 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.12 ; Trained episode: 10
Episode:  109 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.11 ; Trained episode: 10
Episode:  110 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.11 ; Trained episode: 10
Episode:  111 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.11 ; Trained episode: 10
Episode:  112 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.11 ; Trained episode: 10
Episode:  113 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.11 ; Trained episode: 10
Episode:  114 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.11 ; Trained episode: 10
Episode:  115 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.09 0.10 ; Trained episode: 10
Episode:  116 controlled agent:  1 ; Episode Return:  -199.0 ; win rate(coFntrolled & opponent):  0.10 0.10 ; Trained episode: 10
Episode:  117 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.09 ; Trained episode: 11
Episode:  118 controlled agent:  1 ; Episode Return:  -452.0 ; win rate(coFntrolled & opponent):  0.10 0.10 ; Trained episode: 11
Episode:  119 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.10 ; Trained episode: 11
Episode:  120 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.10 ; Trained episode: 11
Episode:  121 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.10 ; Trained episode: 11
Episode:  122 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.10 ; Trained episode: 11
Episode:  123 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.10 ; Trained episode: 11
Episode:  124 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.10 0.10 ; Trained episode: 11
Episode:  125 controlled agent:  1 ; Episode Return:  -215.0 ; win rate(coFntrolled & opponent):  0.11 0.10 ; Trained episode: 11
Episode:  126 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.10 ; Trained episode: 12
Episode:  127 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.09 ; Trained episode: 12
Episode:  128 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.09 ; Trained episode: 12
Episode:  129 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.09 ; Trained episode: 12
Episode:  130 controlled agent:  1 ; Episode Return:  -351.0 ; win rate(coFntrolled & opponent):  0.11 0.10 ; Trained episode: 12
Episode:  131 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.10 ; Trained episode: 12
